user_answer,right_answer,score,Similarly
A person is slicing an onion.,A person cuts ginger.,0.28,47.98533
A person is peeling a potato with a potato peeler.,A man is cutting tomatoes with a cleaver.,0.15,35.791924
Two women are dancing and singing in front of a crowd.,The women are singing and dancing.,0.71,78.576805
A man is seasoning some carrots.,A woman is slicing garlic.,0.16,24.237282
Two men pushed carts through the woods.,Two men are pushing carts.,0.7,74.362114
A man is playing a football.,A man is maneuvering a soccer ball with his feet.,0.4,55.923546
The lady peeled the potatoe.,A woman is peeling a potato.,0.95,75.12914
A woman is slicing some tofu.,A woman is cutting a block of tofu into small cubes.,0.8,79.537735
Someone typed on a keyboard.,Someone is typing.,0.9,87.78094
"Three young men run, jump, and kick off of a Coke machine.",Three men are jumping off a wall.,0.3,50.52009
A young Asian girl is applying eyeliner.,A girl is putting on eye makeup.,0.48,76.64641
A cat is walking around a house.,A woman is peeling potato.,0.0,4.263547
A woman is talking to her pet bunny as she fondles it.,A woman walks her dog onto astro turf.,0.08,28.364204
A monkey is playing drums.,Someone in a gorilla costume is playing a set of drums.,0.5,64.32535
A man is riding a white horse on an enclosed ground.,Someone is riding a horse.,0.52,66.112724
An oriental lady is cutting a carrot into thin pieces.,A woman is slicing a carrot.,0.72,80.349556
A group of people are dancing.,Women are dancing outside.,0.6,60.271065
A man is playing guitar.,A boy is talking to a giant dog.,0.0,-3.884244
A woman mixes up vegetables.,A woman is adding ingredients to a skillet.,0.32,57.15115
A woman pours a mixture into a bowl and mixes it.,A woman is preparing an egg in a skillet.,0.25,42.07449
A man is cutting pieces of butter into a mixing bowl.,Pieces of butter is added in the stand mixer.,0.72,63.984787
A man is putting garlic on some bread slices.,A man is sprinkling seasoning on several split and buttered loaves of bread.,0.4,53.363644
The panda bear lay on the logs.,A panda is lying down.,0.72,71.60414
Five men jump into a swimming pool.,A group of swimmers fall into a pool.,0.56,61.913563
A cheetah is running behind its prey.,A cheetah chases prey on across a field.,0.88,82.53214
A cat is playing on the floor.,A man is slicing garlic.,0.0,0.5907922
A boy is playing violin on stage.,A person is mixing a pot.,0.0,11.256955
A dog is barking at a toy.,The little dog barked at the electronic toy.,0.75,74.25498
A man is cycling.,A boy is riding a bicycle.,0.5,52.003372
A woman is slicing ginger.,A person is holding two baby lorises.,0.0,6.5964365
A man is dragging a dead deer.,A man is jumping into water from a cliff.,0.16,21.182507
A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,0.2,28.969097
A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,0.0,10.651477
Someone touched the kitten chewing on a string.,Someone is cutting paper.,0.05,13.567731
Meat is being put into a skillet.,A woman is putting a baby into a trash can.,0.08,6.0087833
A baby elephant is eating a small tree.,A little girl peddling a scooter.,0.0,8.647102
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,1.0,98.94915
Someone is drawing.,Someone is dancing.,0.06,22.958874
A man is playing a guitar.,A woman is playing the guitar.,0.55,65.2849
Two men are fistfighting in a ring.,Two men fistfight in a ring.,1.0,92.76449
A person wipes butter on a tray.,A person is buttering a tray.,0.85,80.73443
Two men are playing football.,Two men are practicing football.,0.68,80.6135
The man is playing the guitar.,The girl is playing the guitar.,0.32,55.16455
A man is peeling a potato.,A man is slicing a potato.,0.52,79.59624
A woman is stabbing a potato with a fork.,A woman is puncturing a potato with a fork.,1.0,82.75062
A child is waking up.,A girl is waking up.,0.64,82.18055
A boy is playing a key-board.,A little boy is playing a keyboard.,0.96,76.438416
A woman plays the flute.,A woman is playing the flute.,1.0,99.05697
A woman is playing an electric guitar.,A man is playing an acoustic guitar.,0.48,57.348354
A man is playing a flute.,A man is playing a guitar.,0.4,54.178364
A group of people are sweeping water out of a house.,People are sweeping water out of a house.,1.0,96.63721
A man plays a guitar.,A man is playing a guitar.,1.0,98.334335
A man and a woman is kissing each other.,A man and a woman are hugging and kissing each other.,0.68,89.519585
A woman is climbing a cliff.,A woman is climbing a rock face.,0.9,68.17599
A polar bear is running towards a group of walruses.,A polar bear is chasing a group of walruses.,0.84,92.350105
A woman is cutting some fish.,A woman is cutting tofu.,0.44,53.49061
Someone is playing a piano.,Someone is playing guitar.,0.48,49.475952
A man is pouring rice a roni into a pan.,A man poured ric-a-roni into a pan.,0.76,73.99867
A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,0.5,64.98856
A girl is playing guitar.,A girl is playing a piano.,0.4,62.807495
A man is praying.,A man is dancing.,0.15,35.143715
A man is playing piano.,A man is playing a violin.,0.4,51.946247
A woman is slicing an onion.,A woman is slicing lemons.,0.44,70.45084
A man is riding a horse by a creek.,A man is riding a horse.,0.8,77.46913
A man is playing a guitar.,A man is playing a guitar and singing.,0.64,81.08292
A man is picking up a tree.,A man is carrying a tree.,0.76,75.4019
A person is peeling a potato.,The man is peeling a potato.,0.75,90.51734
A person is playing a piano.,A person is slicing a potato.,0.1,28.026056
A man is spitting.,A man is talking.,0.16,35.43033
A man is playing a musical keyboard.,A man is playing a keyboard piano.,1.0,89.17005
A man is dancing.,A man is thinking.,0.24,43.04294
A man plays a trumpet.,A man is playing the trumpet.,1.0,98.03367
A woman is riding a horse.,A man rides a horse.,0.56,54.507523
A band is playing on stage.,A woman is dancing on a stage.,0.24,40.002365
A woman is playing a guitar and singing.,A woman is playing the guitar.,0.64,85.02523
The man is eating.,A man is eating food.,0.92,94.66919
A little boy hits a golf ball.,The little boy swung at the golf ball.,0.8,86.80993
A guy is taking off his sunglasses.,A boy is removing his sunglasses.,0.76,75.887405
Someone is reading an email.,A man is reading his email.,0.68,87.599014
A person is slicing onions.,Someone is slicing an onion.,0.92,94.96316
A girl is coming up on a car.,A girl jumps on top of a car.,0.52,73.21176
A man is playing drums.,A man is playing his guitar.,0.36,48.860146
Someone is slicing a onion.,Someone is carrying a fish.,0.15,14.320232
A woman is dicing some peeled potatoes cut into thick strips.,A woman is chopping a peeled potato into slices.,0.8,80.23373
A little girl peddling a scooter.,A girl is riding a scooter.,0.55,83.0923
A cat cleans itself.,A cat is licking itself.,0.76,73.44802
A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,0.52,82.0489
A woman opens a window.,A woman is looking out a window.,0.4,76.65341
Three men are doing same dance in the street.,Three shirtless men are dancing in the street.,0.76,78.6562
The man is playing the guitar.,The man is peeling a potato.,0.12,20.551079
A man is dancing.,A woman is exercising.,0.08,6.974347
A woman is exercising.,A man is dancing.,0.05,6.9743505
A boy is playing the violin onstage.,A boy is playing an instrument.,0.56,70.459076
The woman is measuring the other woman.,The lady measured the other woman's ankle.,0.64,74.026764
A man is doing exercise.,A man is firing a rifle.,0.1,28.161573
A dog is playing with a toy.,A dog is eating a doll.,0.45,50.665653
A man is playing a piano.,A guy is peeling a potato.,0.0,26.05176
A man is bowling.,A kitten is walking.,0.0,-11.462806
A woman is dancing near a fire.,A woman is cutting a tomatoe.,0.06,16.896872
A man is making a bed.,A man is speaking to an audience.,0.15,24.936779
A person is riding a motorcyle.,A person is chopping an onion.,0.08,24.371328
A man pours rice into a pot.,A man is putting rice in a bowling pot.,0.84,79.6219
A person is slicing some garlic.,A person is dicing a clove of garlic with a knife.,0.75,76.15502
A woman is slicing ginger.,A woman is cutting potatoes.,0.32,56.053318
Men are playing soccer.,Two teams play soccer.,0.6,64.32915
A person is scrubbing a zucchini.,A woman is scrubbing a zucchini with a vegetable brush.,0.8,88.02098
A panda bear is chewing on a stick.,A baby panda plays with a stick.,0.6,77.30462
The people are lifting bags.,Several people are carrying large bags.,0.75,69.59553
A man is talking on the phone.,A man is moon-walking across a store.,0.08,19.746649
A woman is braiding her hair.,A man is riding a motorcycle.,0.0,-9.275097
The man is throwing knives at a tree.,A man is throwing blades into a close target outside.,0.6,64.182945
The woman is slicing tofu.,The woman is putting on lipstick.,0.08,32.941513
A woman is folding paper.,A woman is applying eye shadow.,0.08,36.40046
Someone is folding a piece of paper.,A person is slicing a small pieces of ginger.,0.05,23.7152
A man is lifting weights.,A man is chopping egg plant.,0.05,26.006329
A man is playing a cello.,A man is rapidly lifting small weights.,0.08,23.723967
The man is talking.,A man is walking down stairs.,0.08,37.27787
A man tries to feed a mouse to a snake.,A man is teasing a snake with a mouse.,0.64,79.68923
A man is playing the drums.,A woman is slicing some leaves.,0.0,1.1889802
A man is playing a ukulele.,A man is sitting and playing a small guitar.,0.44,50.991585
A kitten is drinking milk from a bowl.,A small child is drinking water from a cup.,0.16,47.025536
A man breaks cinder blocks on another man.,A woman breaks an egg into a pan.,0.16,18.848988
A man is hitting a boy with flower vase.,A man is cutting a mat.,0.06,28.119013
The man is mixing whipping cream.,The man is holding a skunk.,0.0,12.507996
A man is stirring juice.,A man is peeling an onion.,0.15,39.610367
Someone is slicing two uncooked racks of ribs apart.,Someone is cutting a piece of meat.,0.47,59.40044
A man is kicking pots of water.,A man is turning foods.,0.27,38.893448
Two little girls talk on the telephone.,Two couple are talking with each other.,0.24,47.48963
A cat gets stuck on a moving ceiling fan.,A cat is swinging on a fan.,0.84,70.55019
The cat is drinking milk.,A white cat is licking and drinking milk kept on a plate.,0.76,68.65276
Rocky and Apollo Creed are running down the beach.,The men are jogging on the beach.,0.6,47.63547
A man is singing while playing the guitar.,A man is stuffing himself full with food.,0.1,21.542183
A boat sails along the water.,The man is playing the guitar.,0.0,7.791791
An okapi is eating from a tree.,A moose drinks from a sprinkler.,0.07,15.174691
Several kids jump up and down on a trampoline.,A man is doing back flips on a trampoline.,0.3,37.959335
A woman is pouring egg into a frying pan.,A man is petting two dogs.,0.03,-7.6117396
A woman is frying ground meat.,A man is cutting a trunk with an axe.,0.1,7.265458
Three boys in karate costumes are fighting.,Three men are practicing karate moves in a field.,0.25,55.135418
Swimmers are racing in a lake.,Women swimmers are diving in from the starting platform.,0.32,50.696915
A person is boiling noodles.,A cat is licking a bottle.,0.0,9.367301
A person is slicing some onions.,A woman is chopping herbs.,0.2,47.15445
A man reels in a fish.,A woman is pouring oil in a bowl.,0.0,5.3947015
A woman is cutting an onion.,A horse is standing.,0.0,-5.0615034
A lady mixed up a meat mixture in bowl.,A woman is stirring meat in a bowl.,0.8,77.59148
A girl is applying makeup on her face.,A woman is putting on makeup.,0.55,74.47476
A woman puts make-up on.,A woman is putting on eyeshadow.,0.67,66.02447
A cat plays in his water.,The cat fished a straw out ouf his water dish.,0.7,66.20958
A person is adding food in a pan.,A man is dancing in the street.,0.04,11.26951
A man is smoking.,A baby is sucking on a pacifier.,0.0,12.253511
A person is putting shredded cheese in a pot.,A hamster is eating some seeds.,0.05,9.793113
A man is erasing a chalk board.,"A woman is dancing, and singing.",0.07,-1.0620795
The man is exercising.,A man is doing pull-ups.,0.64,64.744125
A chimp is kicking a target.,A woman is putting oil into a skillet.,0.0,4.7422466
A man is doing exercise.,A baby is laughing.,0.0,-1.667372
The girl is carrying a baby.,A man is eating a food.,0.0,-10.619406
Several swimmers jump into the water.,Swimmers are racing in a lake.,0.35,63.50404
A man spins on a surf board.,A man is putting barbecue sauce on chicken.,0.0,15.551487
A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,A man is riding a skateboard.,0.55,60.387646
A person dices up an orange pepper.,The cook is slicing bell peppers.,0.36,47.616398
Two men are dancing together.,A woman opens a closet.,0.0,-15.69123
A man is reading an email.,A person opening a banana.,0.0,13.064699
The curious boys look in the shed.,Two small boys in a woody area looking at a shed.,0.56,78.39517
A moped in front of steps of ruins.,A moped in front of ruins.,0.88,94.39997
A man sleeps with a baby in his lap.,A man asleep in a chair holding a baby.,0.8,71.99367
Two cats are looking at a window.,A white cat looking out of a window.,0.52,74.11728
A person wearing a helmet rides a bike near a white structure.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,0.24,26.371544
A man with a bicycle at a coffee house.,Man walking bicycle to patio of a coffee shop.,0.64,72.81221
A black and white cat is high up on tree branches.,Black and white lamb with tag in right ear.,0.16,21.416573
A young blonde girl wearing a helmet sits with a red bicycle behind her.,A young girl wearing a bike helmet with a bicycle in the background.,0.68,78.29286
Blue couch and twin bed in a living room.,Blue couch in room with sun shining in.,0.4,79.353355
The flock of sheep are spread out in the field.,A white cat stands on the floor.,0.0,5.3408613
Two dogs and one cat sitting on couch.,Two dogs and a cat resting on a couch.,0.92,90.01101
A bicycle is parked by a shop.,A bicycle is parked outside a bookstore.,0.8,73.42572
A orange and white cat laying on a blanket in a black leather chair.,A ginger and white cat curled up and asleep on a leather chair.,0.76,77.95767
Young couple sitting on a black couch.,Young couple sitting on couch.,0.8,92.61778
A group of black people in front of a building with a moped.,A group of people are outside a decrepit building.,0.56,49.892227
Elderly woman sitting on red patterned couch with her arm around younger woman.,Two women sitting on couch posing for camera.,0.72,57.674454
A man riding on the back of an orange SUV.,an African man hanging onto the back of a very full yellow van.,0.36,47.484726
Red and white bus driving down road.,A bus drives down a busy road.,0.72,75.95592
A cat laying on a red cushion looking at the camera.,A tan dog lying on a moggie bed looking up at the camera.,0.24,54.841866
Two green and white trains sitting on the tracks.,Two green and white trains are sitting on the train track.,1.0,95.82504
A grey cat lying on a wooden table.,A grey cat laying on a dining table.,0.8,90.52937
A man sitting in a back yard playing the guitar.,A man riding on the back of an orange SUV.,0.0,25.466923
A father napping in a chair with a baby on his lap.,Man with pink shirt sleeping on chair with infant.,0.68,65.56825
a close up head of an ostrich.,A close up of an ostrich face.,0.88,90.39275
Green and white bird perched on tree branch.,Bird with a green head and white chest perched on a tree branch.,0.84,92.94694
A man in a top hat rides a white horse.,A man with a top hat riding a white horse.,1.0,98.48416
A woman riding a brown horse.,A woman taking her own photo from above.,0.04,23.45873
Two men standing in grass staring at a car.,A woman in a pink top posing with beer.,0.04,-7.9938455
Two Indian women with two Indian girls near the water.,Two Indian woman stand with two Indian girls on a beach.,0.8,79.19244
A table is set with wine and dishes for two people.,"A wooden table is set with candles, wine, and a purple plastic bowl.",0.52,58.824074
A moped in front of ruins.,White bus parked in grass in front of building.,0.12,26.755215
A person driving a cart pulled by a bicycle.,A man wearing a dust mask riding a three wheeled bicycle.,0.24,38.894855
A dog sniffing the bottom of a door.,A black and white dog sniffing at a closed door.,0.76,81.12212
a small bird sitting on a branch in winter.,A small bird perched on an icy branch.,0.84,87.35371
A yellow bird is eating fruit on a wire grate.,A yellow bird eating fruit on a bird feeder.,0.56,86.72309
A brown duck and white duck stand on the grass.,Brown and white ducks walking on green grass.,0.84,74.69169
A black and white cat and dog on a striped couch.,A black and white cat standing in front of a window.,0.48,50.08204
A man wearing black formal wear & a black top hat is riding a white show horse.,A man with a top hat riding a white horse.,0.72,80.08511
A small brown birds is eating from a bird feeder hanging from a tree.,A small bird perches on the bird feeder hanging from the tree.,0.76,76.05641
This a picture of the countryside with a large city in the background.,There are some black cattle in a grassy plain with a large tree in the background.,0.12,25.191475
Blue and red plane in mid-air flight.,a blue and red airplane while in flight.,0.96,89.42734
Three men posing in a tent.,Three men eating in a kitchen.,0.24,46.322147
A close-up of a gray cat with green eyes.,A close-up of a cat on a cream sofa.,0.48,56.774162
A train is at a train station.,The train sits at the train station.,0.84,85.80507
The train heads down the tracks and along the hedge.,a dog on the floor of a patio looks at a cat on the fence.,0.0,14.852678
a little girl is laughing at the camera.,A white cow with big ears looking into the camera.,0.04,33.286625
Three young women standing in a room together.,"Three dark haired young women in white, red and black sweaters.",0.68,61.037712
A white bird with long orange legs standing by a lake.,Large white bird with long orange beak standing on the shoreline.,0.6,81.94125
A red train driving through a snow covered city.,The train is riding on the tracks in the snow.,0.64,62.734802
Three bicyclists crossing a bridge in a city.,The bicyclists are crossing a bridge in the rain.,0.6,69.18568
A red and white bus drives down an England street.,A red and white England bus drives down the street.,0.88,98.43929
The birds are swimming in the water.,Birds fly low over water.,0.36,55.977676
A black dog looking at the camera.,The black and white bull is looking at the camera.,0.4,69.546555
A group of horses grazing in a field.,Group of horses grazing in grassy field.,0.96,96.641045
Several people on motorcycles in a market square.,People on motorbikes in a city street.,0.8,56.12682
Three sheep on a dirt road viewed from a passenger vehicle.,Three sheep on a dirt road shot from a car.,0.44,86.02035
Group of people posing with two men dressed as Elvis.,A group of people standing with two other people dressed as Elvis.,0.84,84.33386
Parrot pushing a small shopping cart.,A white bird is steering a shopping cart.,0.68,66.79177
Man in yellow canoe paddling through water.,Man paddling a yellow canoe towards a the shore.,0.84,89.12235
Beer bottles (-LRB- Harp Lager )-RRB- lined up on the floor.,A row of beer bottles on the floor.,0.68,74.95517
Two women sitting outside laughing.,Two women standing outside of a bus.,0.48,44.693596
A steam engine and train moving toward the camera.,A white sheep on a hillside looking at the camera.,0.2,32.57038
A brown and white cow in a field looking into the camera.,The black and white cat is looking up at the camera.,0.32,43.866936
Black and white cow standing near pile of snow.,a black and white cow standing in the field.,0.64,77.02286
Home office space with bright green walls and artwork.,An office with multiple desks and green walls.,0.68,75.11925
A black and white photo of a man driving a car and someone with a motorcycle.,A black and white photo of a man in a classic car and a man with a classic motorcycle.,0.8,78.30027
Three people are by the water with yellow canoes.,Three people preparing to canoe.,0.6,77.74972
A girl in a riding hat on a horse.,A girl riding a tan horse.,0.76,78.14045
A man dressed in a pale scarf with a stick.,A runner is resting in the shade with a bottle of soda.,0.0,22.4309
A very retro living room with a television in it.,A grey cat lying on a wooden table.,0.0,18.537584
A girl in a riding hat on a horse.,A girl riding a brown horse.,0.52,77.138245
A car is pulling off the side of the road onto the street.,A silver car parked on the side of the road in front of the hills.,0.52,50.0652
The man is sitting cross legged wearing a cloak and holding a stick.,Man sitting cross legged while wearing a brown cloth and holding a wooden stick.,0.76,75.345215
Two black and white dogs at the bottom of stairs.,A dog is lying at the bottom of a staircase next to another standing dog.,0.52,73.81613
An old fashioned wooden sailing ship in the ocean.,An old fashioned wooden sailing ship is parked at the pier.,0.56,72.06249
"A man sitting cross legged on the grass, with a tree in the background.",Ocean liner close to coast with houses in the background.,0.0,6.4183292
Two cats sitting on a couch looking out the window.,A cat looking out of a window.,0.52,71.44964
Three goats are being rounded up by a dog.,Three goats are chased by a dog.,0.92,78.00858
A tan puppy on a carpeted floor.,Tan puppy lying down on white carpeting.,0.76,84.75641
A black dog standing in a grassy area.,A long-haired dog stands in a grassy wooded area.,0.68,73.95541
Train in a station.,a train in a station.,1.0,97.334465
A blue bird standing on a lawn.,Blue bird standing on green grass.,0.92,92.965225
An empty office cubicle.,An empty office chair in a cubicle.,0.6,85.18337
A man and woman sit at a table in a restaurant.,Four women and two men sit at a long table in a restaurant.,0.44,69.755325
A young man wearing a striped shirt is holding two bicycles.,Young redheaded man holding two bicycles near beach.,0.76,69.838554
"A television, upholstered chair, and coffee stable in a bright room.",A leather couch and wooden table in a living room.,0.44,55.725754
Two cats sitting on a couch looking out the window.,Two cats are looking at a window.,0.72,87.96806
The small dog is wearing a sweater and looking up at the camera.,A small white dog wearing a jacket looks up at the camera.,0.8,79.94853
Two men standing in grass staring at a car.,Two women sitting in chairs in a shop.,0.08,12.2632
A woman stands in front of a building in the snow.,Two women and a baby pose in front of a dining room.,0.0,13.668391
Home office space with bright green walls and artwork.,Small office space with bright green walls.,0.76,88.75653
A green car parked at a saloon.,A green car parked outside the saloon.,1.0,95.57559
Group of people sitting around a restaurant dining table.,A group of people sitting at a restaurant table.,0.96,94.36001
Two ducks are standing by the water.,The birds are swimming in the water.,0.48,44.35657
A black and white cow in a pen with hay.,Black and white cows behind a fence.,0.56,59.859585
A man and woman are posing for the camera.,A cat sitting on sand looking up at the camera.,0.28,13.827403
A green and white cargo plane taking of from an airport.,White and green commercial airliner taking off of runway.,0.72,67.858025
A yellow school bus parked in a field.,A brown horse in a green field.,0.0,30.7142
An elderly man works on his laptop at home.,Older gentleman sitting on couch with laptop.,0.84,64.21695
The cat is sitting on a bag of cat food.,Two eagles sitting on a long branch.,0.08,12.80204
A large pile of wooden items piled high.,A large pile of scrap wood.,0.76,75.84422
A woman riding a brown horse.,A girl riding a brown horse.,0.8,82.85755
Black and white photo of a girl on a sofa.,a black and white photo of a cow under a tree.,0.24,36.115273
A black dog stands next to materials at a construction site.,A black dog stands in the middle of a construction site.,0.8,91.28152
Two women sitting in chairs in a shop.,Two women are sitting in a cafe.,0.6,63.83151
A women painting a chair with a dining room in the background.,A man and boy walking along a beach with the sea in the background.,0.0,-3.9779696
A cat sleeping on the coach with a pillow behind it.,The cat is laying on an animal print blanket.,0.48,58.4368
Two motorbikes racing on a dirt course.,two motorbikes on a dirt track.,0.68,84.49553
A young woman is riding a Bay hose in a dirt riding-ring.,A man is staring at a horse with a white mane.,0.16,-3.0247767
A gray cat laying on a brown table.,A grey cat lying on a wooden table.,0.84,91.062225
Motorcycle parked next to a car outside.,A motorcycle parked next to a car.,0.88,95.61736
A pile of used wooden building materials with a chair on top.,Pile of wooden debris with chair on top.,0.8,74.80947
A passenger train waiting at the city train station.,A passenger train with a yellow engine.,0.36,54.928368
A black train moves down the tracks.,A long train is on train tracks.,0.56,57.621395
A Philips flat-screen TV is shown with its two remote controls.,A Phillips flat screen TV with two remote controls.,1.0,90.507675
A cruise ship is in front of a docking area.,Calico cat sitting on step in front of a door.,0.0,16.19193
A black and white cow standing in hay looks back at the camera.,There is a black and white sheep standing on the grass.,0.04,49.804676
Four people rowing down a river.,Four people row a canoe in water.,0.8,75.38279
A dark brown horse standing in a field.,A brown horse in a green field.,0.76,84.28605
Two men talking in front of a plane.,Two men talking in front of a small plane.,0.88,97.94147
"two cats, one brown and one white laying on a bed with a blue blanket.","Two cats, one ginger, the other white laying on a bed.",0.64,83.13971
The train sits at the train station.,A train parked at a train station.,0.92,76.507355
Two animals sitting on a rock.,The brown train is sitting on the railroad tracks.,0.0,21.08966
A black and white cow looking through the fence.,A black and white dog looking at the camera.,0.2,44.827168
Two women in a clothing store.,Two women in a sailboat.,0.16,43.436783
Older gentleman looking at red motorcycle.,A man looking at a red motorcycle.,0.8,85.46211
Black and white cows grazing in a pen.,Two black and white cows drinking out of a pond.,0.32,57.84291
